epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0162,1.88649,1.72375,1.4373,0.56986,0.30716,0.32147,0.09908,2.67188,7.69193,1.63603,0.0700477,0.00332803,0.00332803
2,181.08,1.77682,1.50481,1.39764,0.69622,0.56375,0.61275,0.28602,1.93049,4.19498,1.23833,0.0399535,0.00656716,0.00656716
3,266.948,1.68061,1.40138,1.35361,0.70305,0.50083,0.5694,0.31002,1.53841,3.43018,1.09084,0.00976499,0.00971199,0.00971199
4,352.472,1.62226,1.32866,1.31762,0.71775,0.56428,0.62468,0.33889,1.4795,2.58584,1.06109,0.00957571,0.00957571,0.00957571
5,438.828,1.58216,1.27411,1.29367,0.73697,0.55066,0.60258,0.31477,1.65256,4.13145,1.12163,0.00943429,0.00943429,0.00943429
6,524.611,1.52925,1.21561,1.26868,0.67324,0.57774,0.62821,0.3506,1.46941,2.62935,1.05613,0.00929286,0.00929286,0.00929286
7,611.118,1.49108,1.17236,1.24528,0.67752,0.57307,0.61837,0.36384,1.34604,2.59612,1.03954,0.00915143,0.00915143,0.00915143
8,696.751,1.47904,1.15893,1.24315,0.67551,0.58172,0.63295,0.3499,1.45122,2.19211,1.04871,0.00901,0.00901,0.00901
9,782.952,1.45981,1.14246,1.2299,0.70257,0.59372,0.64699,0.37371,1.37938,2.9051,1.04186,0.00886857,0.00886857,0.00886857
10,869.21,1.44346,1.12353,1.22723,0.76713,0.58155,0.66416,0.37996,1.42327,2.42219,1.04742,0.00872714,0.00872714,0.00872714
11,955.01,1.40626,1.08128,1.20474,0.72787,0.61036,0.6818,0.38809,1.43343,1.68715,1.03472,0.00858571,0.00858571,0.00858571
12,1039.69,1.37575,1.05731,1.18984,0.77048,0.59583,0.68329,0.40404,1.36422,1.86986,1.02521,0.00844429,0.00844429,0.00844429
13,1124.43,1.35522,1.03816,1.17762,0.78032,0.5924,0.68712,0.41351,1.26508,1.89673,0.99093,0.00830286,0.00830286,0.00830286
14,1209.81,1.36777,1.04111,1.18534,0.77011,0.63083,0.70779,0.43319,1.21961,2.06126,0.97523,0.00816143,0.00816143,0.00816143
15,1295.3,1.33778,1.02177,1.17253,0.78685,0.58303,0.68533,0.41567,1.23823,1.59319,0.97902,0.00802,0.00802,0.00802
16,1381.23,1.34144,1.02503,1.17449,0.73841,0.62787,0.69509,0.41649,1.29471,1.89127,0.98636,0.00787857,0.00787857,0.00787857
17,1466.19,1.3243,1.00891,1.16926,0.77416,0.56592,0.6665,0.40594,1.3035,1.76424,0.99457,0.00773714,0.00773714,0.00773714
18,1550.45,1.32546,1.0048,1.16698,0.75257,0.58869,0.67835,0.40517,1.3303,1.44099,1.00251,0.00759571,0.00759571,0.00759571
19,1635.64,1.30891,0.98595,1.1597,0.76982,0.61787,0.70164,0.43136,1.21314,1.69335,0.96368,0.00745429,0.00745429,0.00745429
20,1720.4,1.30981,0.98639,1.1589,0.75668,0.58161,0.68101,0.41712,1.24949,1.54873,0.96987,0.00731286,0.00731286,0.00731286
21,1804.53,1.31688,0.9815,1.15662,0.75009,0.60436,0.67991,0.40199,1.3127,1.7522,0.99942,0.00717143,0.00717143,0.00717143
22,1889.45,1.29145,0.96703,1.14814,0.77165,0.62821,0.71066,0.42276,1.26091,1.63985,0.98048,0.00703,0.00703,0.00703
23,1974.72,1.28117,0.95384,1.14288,0.75788,0.59481,0.68453,0.41563,1.27536,1.56625,0.98441,0.00688857,0.00688857,0.00688857
24,2060.74,1.26925,0.94715,1.13937,0.7644,0.60817,0.69677,0.42815,1.19934,1.61671,0.9622,0.00674714,0.00674714,0.00674714
25,2145.63,1.25689,0.93548,1.13297,0.7805,0.60617,0.69233,0.40862,1.36497,1.66159,1.00584,0.00660571,0.00660571,0.00660571
26,2231,1.25449,0.93593,1.13056,0.78568,0.61574,0.70564,0.42704,1.28833,1.65551,0.9779,0.00646429,0.00646429,0.00646429
27,2318.13,1.26863,0.94083,1.13758,0.7658,0.62705,0.69804,0.40696,1.34634,1.58732,0.99157,0.00632286,0.00632286,0.00632286
