epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8315,1.53721,1.86486,1.14489,0.73691,0.62224,0.70379,0.43361,1.14267,2.0131,0.89188,0.0700477,0.00332803,0.00332803
2,163.572,1.45181,1.28998,1.09191,0.78223,0.5952,0.72516,0.45892,1.09866,2.16443,0.88209,0.0399158,0.00652947,0.00652947
3,241.769,1.47486,1.2512,1.08872,0.75197,0.56973,0.66118,0.41947,1.17217,3.06981,0.91466,0.0096519,0.00959891,0.00959891
4,319.321,1.47508,1.21308,1.08939,0.73404,0.62647,0.69182,0.42931,1.169,2.42252,0.92228,0.009406,0.009406,0.009406
5,400.332,1.43073,1.14875,1.07527,0.77487,0.60528,0.70877,0.44995,1.09559,1.73068,0.90638,0.009208,0.009208,0.009208
6,481.249,1.38871,1.08413,1.05618,0.76136,0.61971,0.71009,0.45606,1.08065,1.7509,0.90178,0.00901,0.00901,0.00901
7,562.15,1.35727,1.0373,1.04329,0.7549,0.59212,0.67971,0.4459,1.07268,1.69393,0.89598,0.008812,0.008812,0.008812
8,643.021,1.31283,0.99695,1.03157,0.75697,0.62026,0.71187,0.46238,1.06724,1.56153,0.89338,0.008614,0.008614,0.008614
9,723.888,1.30321,0.98106,1.02442,0.76444,0.64055,0.72173,0.47002,1.03584,1.83956,0.88559,0.008416,0.008416,0.008416
10,804.285,1.27792,0.946,1.01281,0.78804,0.64574,0.73423,0.48534,1.01923,1.75315,0.88339,0.008218,0.008218,0.008218
11,885.051,1.25535,0.91777,1.0093,0.79157,0.64888,0.73941,0.48835,1.02323,1.5,0.88606,0.00802,0.00802,0.00802
12,965.983,1.2384,0.89762,1.00292,0.72031,0.58464,0.66524,0.43682,1.04969,1.65934,0.88714,0.007822,0.007822,0.007822
13,1046.91,1.22767,0.88572,1.00087,0.81189,0.61618,0.7232,0.4673,1.03507,1.79007,0.88683,0.007624,0.007624,0.007624
14,1127.51,1.21994,0.87368,0.99671,0.76345,0.66885,0.74036,0.49213,0.99179,2.02448,0.87377,0.007426,0.007426,0.007426
15,1208.23,1.20433,0.85475,0.9894,0.78417,0.65069,0.73841,0.49427,1.01226,1.71735,0.88557,0.007228,0.007228,0.007228
16,1288.8,1.18577,0.84132,0.98356,0.77533,0.63605,0.71716,0.48462,0.99257,1.53956,0.87653,0.00703,0.00703,0.00703
17,1369.74,1.18556,0.83089,0.98524,0.78659,0.62892,0.71517,0.48526,0.98944,1.84686,0.87459,0.006832,0.006832,0.006832
18,1451,1.16467,0.81502,0.97946,0.7647,0.64457,0.72427,0.48551,0.99977,1.69832,0.87276,0.006634,0.006634,0.006634
19,1531.73,1.16073,0.80966,0.97642,0.75359,0.64861,0.72772,0.49618,0.9658,1.69403,0.86536,0.006436,0.006436,0.006436
20,1612.89,1.15327,0.79942,0.97605,0.79121,0.63712,0.72903,0.49961,0.97595,1.67947,0.8667,0.006238,0.006238,0.006238
21,1693.58,1.14401,0.79079,0.96982,0.78419,0.64324,0.72983,0.49732,0.9693,1.62505,0.86638,0.00604,0.00604,0.00604
22,1774.47,1.13353,0.77716,0.96442,0.78164,0.64589,0.72429,0.49885,0.96067,1.50469,0.86709,0.005842,0.005842,0.005842
23,1855.28,1.12734,0.77742,0.96746,0.79183,0.65649,0.74177,0.50551,0.95744,1.38839,0.86299,0.005644,0.005644,0.005644
24,1935.48,1.11744,0.76573,0.96153,0.77171,0.63798,0.72051,0.49811,0.94788,1.67362,0.8632,0.005446,0.005446,0.005446
25,2015.07,1.1115,0.75682,0.95926,0.76159,0.67285,0.73575,0.50207,0.95803,1.5856,0.86753,0.005248,0.005248,0.005248
26,2095.05,1.09511,0.74421,0.95708,0.77372,0.67656,0.74754,0.51761,0.92189,1.71791,0.85415,0.00505,0.00505,0.00505
27,2174.89,1.10049,0.7453,0.95563,0.80107,0.65846,0.7405,0.51233,0.93244,1.60536,0.85736,0.004852,0.004852,0.004852
28,2254.6,1.08805,0.73833,0.9521,0.76687,0.64313,0.72198,0.50169,0.93575,1.54185,0.85976,0.004654,0.004654,0.004654
29,2334.54,1.07756,0.72975,0.94793,0.78786,0.65887,0.7381,0.50665,0.93677,1.6224,0.85883,0.004456,0.004456,0.004456
30,2414.41,1.07483,0.7224,0.94842,0.80314,0.66608,0.745,0.51415,0.9385,1.59787,0.86191,0.004258,0.004258,0.004258
31,2493.98,1.0676,0.71896,0.94621,0.77766,0.67255,0.74918,0.51549,0.93652,1.42808,0.86409,0.00406,0.00406,0.00406
32,2573.59,1.06973,0.71478,0.94409,0.76549,0.64032,0.71939,0.50067,0.92695,1.75797,0.85743,0.003862,0.003862,0.003862
33,2653.97,1.0573,0.70377,0.94248,0.79612,0.65295,0.74134,0.51652,0.92508,1.41599,0.85579,0.003664,0.003664,0.003664
34,2734.28,1.05434,0.70227,0.93986,0.76036,0.63208,0.70408,0.49239,0.91724,1.49595,0.85278,0.003466,0.003466,0.003466
35,2815.63,1.04223,0.69331,0.93908,0.801,0.67462,0.74391,0.51618,0.91836,1.64017,0.85482,0.003268,0.003268,0.003268
36,2897.06,1.03365,0.69007,0.93591,0.77746,0.67688,0.73524,0.51427,0.91086,1.55164,0.85351,0.00307,0.00307,0.00307
37,2978.21,1.03708,0.68492,0.93736,0.77831,0.66124,0.73864,0.51575,0.91809,1.45668,0.85727,0.002872,0.002872,0.002872
38,3059.39,1.02531,0.68116,0.93574,0.76982,0.64979,0.72643,0.50895,0.91651,1.56922,0.85647,0.002674,0.002674,0.002674
39,3140.51,1.02113,0.67086,0.93061,0.76694,0.65127,0.72776,0.5127,0.90284,1.47294,0.85374,0.002476,0.002476,0.002476
40,3221.85,1.01426,0.66789,0.93062,0.78592,0.63124,0.73211,0.51265,0.90627,1.62409,0.85566,0.002278,0.002278,0.002278
41,3294.85,0.89163,0.56573,0.89357,0.77849,0.65863,0.73997,0.5143,0.92653,1.434,0.8628,0.00208,0.00208,0.00208
