epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0223,2.0356,1.9059,1.50657,0.71202,0.53601,0.60409,0.26623,1.78873,2.8807,1.20447,0.0700477,0.00332803,0.00332803
2,152.359,1.89178,1.60584,1.43689,0.68226,0.58075,0.61628,0.25386,1.92452,1.84622,1.22323,0.0398279,0.00644154,0.00644154
3,223.151,1.79752,1.49244,1.38707,0.71649,0.58678,0.63949,0.27585,1.8357,3.11264,1.14443,0.00938804,0.00933505,0.00933505
4,293.986,1.73532,1.41869,1.33536,0.65677,0.60008,0.64375,0.28817,1.74702,2.69565,1.15648,0.00901,0.00901,0.00901
5,365.562,1.68872,1.35734,1.30654,0.73417,0.59781,0.65869,0.30743,1.79012,1.9225,1.12744,0.00868,0.00868,0.00868
6,436.69,1.63223,1.31742,1.28093,0.78084,0.60837,0.6876,0.34088,1.62946,1.62028,1.07591,0.00835,0.00835,0.00835
7,507.513,1.60944,1.28179,1.26758,0.75623,0.6268,0.6856,0.3436,1.53118,2.29103,1.0599,0.00802,0.00802,0.00802
8,578.375,1.58647,1.26268,1.25781,0.72628,0.61707,0.69715,0.35115,1.52506,2.09792,1.0628,0.00769,0.00769,0.00769
9,649.777,1.56745,1.23593,1.23927,0.81253,0.61343,0.71122,0.3559,1.57515,1.77596,1.05719,0.00736,0.00736,0.00736
10,720.624,1.54527,1.2178,1.22775,0.77198,0.63303,0.70487,0.36153,1.50185,1.63583,1.03528,0.00703,0.00703,0.00703
11,791.053,1.52119,1.19084,1.21465,0.75826,0.63567,0.71205,0.39121,1.37276,1.57672,1.00163,0.0067,0.0067,0.0067
12,861.764,1.50513,1.18385,1.20741,0.78625,0.63163,0.71779,0.38699,1.4748,1.6577,1.01753,0.00637,0.00637,0.00637
13,932.019,1.48646,1.15721,1.19817,0.75622,0.62988,0.70653,0.36932,1.49784,1.89492,1.01422,0.00604,0.00604,0.00604
14,1002.8,1.4736,1.14666,1.18383,0.76104,0.63011,0.7069,0.37393,1.49751,1.74295,1.022,0.00571,0.00571,0.00571
15,1073.98,1.46168,1.1211,1.18214,0.77958,0.61937,0.70502,0.36706,1.5301,1.81221,1.01916,0.00538,0.00538,0.00538
16,1144.5,1.44811,1.11515,1.17193,0.76338,0.63591,0.70626,0.36531,1.53502,1.82913,1.02857,0.00505,0.00505,0.00505
17,1214.95,1.44686,1.11879,1.17186,0.75265,0.62532,0.69334,0.3473,1.54859,1.62234,1.02836,0.00472,0.00472,0.00472
18,1286.07,1.43327,1.10597,1.16865,0.76567,0.64479,0.7129,0.38098,1.39332,1.48784,0.98557,0.00439,0.00439,0.00439
19,1358.02,1.4136,1.08203,1.15714,0.78238,0.63768,0.70782,0.38534,1.42888,1.66553,0.98959,0.00406,0.00406,0.00406
20,1429,1.40887,1.07619,1.14909,0.76615,0.6493,0.72258,0.38301,1.45699,1.69046,0.99711,0.00373,0.00373,0.00373
21,1497.33,1.31181,1.00765,1.12167,0.77171,0.59262,0.67819,0.37417,1.47227,1.59414,1.02052,0.0034,0.0034,0.0034
22,1566.49,1.29091,0.98421,1.11284,0.76342,0.61498,0.68938,0.37897,1.41242,1.81276,0.99328,0.00307,0.00307,0.00307
23,1633.75,1.28175,0.97199,1.10939,0.74501,0.60284,0.68633,0.38457,1.38443,1.77716,0.99285,0.00274,0.00274,0.00274
24,1701.12,1.25338,0.95021,1.09887,0.72187,0.61155,0.67275,0.38005,1.36115,1.72346,0.9848,0.00241,0.00241,0.00241
25,1769.3,1.25111,0.93497,1.09136,0.74642,0.60561,0.67688,0.3779,1.41942,1.52641,0.99498,0.00208,0.00208,0.00208
26,1838.84,1.23804,0.92479,1.08714,0.72962,0.6098,0.67963,0.3936,1.33278,1.53683,0.97217,0.00175,0.00175,0.00175
27,1906.87,1.22167,0.90396,1.07877,0.75363,0.60485,0.6867,0.38915,1.36659,1.81326,0.9767,0.00142,0.00142,0.00142
28,1973.46,1.20978,0.89412,1.0745,0.77723,0.57599,0.67219,0.37674,1.43126,1.72306,0.99087,0.00109,0.00109,0.00109
29,2040.22,1.19338,0.88286,1.0683,0.77796,0.57917,0.68227,0.3923,1.33576,1.62806,0.97157,0.00076,0.00076,0.00076
30,2106.78,1.19287,0.87365,1.06251,0.75879,0.5869,0.68287,0.39456,1.35558,1.57471,0.97156,0.00043,0.00043,0.00043
