epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.4578,2.13886,2.07914,1.59742,0.68461,0.55855,0.58622,0.23029,2.00775,5.34874,1.34076,0.0700477,0.00332803,0.00332803
2,155.078,1.98929,1.73383,1.50999,0.68121,0.53785,0.56934,0.23973,1.85776,2.62887,1.2635,0.0398279,0.00644154,0.00644154
3,228.879,1.91142,1.63895,1.46918,0.67285,0.54247,0.57017,0.24121,1.87578,1.93872,1.21606,0.00938804,0.00933505,0.00933505
4,302.18,1.84228,1.55319,1.4184,0.75835,0.57192,0.65027,0.28547,1.74792,2.02593,1.15345,0.00901,0.00901,0.00901
5,375.282,1.79058,1.48106,1.3884,0.74548,0.59845,0.65613,0.31416,1.63212,2.55103,1.10561,0.00868,0.00868,0.00868
6,448.644,1.76254,1.45955,1.36675,0.77512,0.6138,0.68995,0.31316,1.71359,1.89596,1.13768,0.00835,0.00835,0.00835
7,522.094,1.72658,1.41491,1.35037,0.78026,0.58571,0.67208,0.31911,1.707,2.21733,1.12365,0.00802,0.00802,0.00802
8,595.234,1.70974,1.39312,1.33764,0.76141,0.59172,0.65434,0.32592,1.62002,2.57661,1.0992,0.00769,0.00769,0.00769
9,668.962,1.68619,1.37497,1.32447,0.74374,0.60082,0.66906,0.33467,1.59425,2.31941,1.08245,0.00736,0.00736,0.00736
10,742.003,1.66586,1.35216,1.31664,0.7303,0.61301,0.67585,0.3494,1.49643,2.01768,1.05874,0.00703,0.00703,0.00703
11,815.283,1.64525,1.33396,1.29762,0.78223,0.57826,0.66405,0.32701,1.62054,1.74667,1.07996,0.0067,0.0067,0.0067
12,887.992,1.63181,1.31581,1.29671,0.75904,0.60864,0.68766,0.35084,1.5142,2.00627,1.06152,0.00637,0.00637,0.00637
13,961.199,1.60508,1.29227,1.27768,0.77192,0.63654,0.70676,0.37443,1.44791,1.60541,1.028,0.00604,0.00604,0.00604
14,1034.16,1.59979,1.28291,1.27922,0.74994,0.62861,0.70014,0.35647,1.51861,1.55317,1.07051,0.00571,0.00571,0.00571
15,1107.29,1.5918,1.27706,1.27001,0.74127,0.61709,0.68147,0.35987,1.45828,1.79175,1.03384,0.00538,0.00538,0.00538
16,1180.58,1.58077,1.263,1.26647,0.74799,0.65082,0.70594,0.37285,1.48104,1.66317,1.03227,0.00505,0.00505,0.00505
17,1253.79,1.57863,1.24858,1.25418,0.77706,0.6247,0.70617,0.38333,1.44161,1.87643,1.02913,0.00472,0.00472,0.00472
18,1327.09,1.56342,1.2356,1.24797,0.75831,0.63616,0.70555,0.37876,1.41935,1.84217,1.01624,0.00439,0.00439,0.00439
19,1400.01,1.53746,1.21405,1.23813,0.76776,0.63175,0.70921,0.36795,1.5387,1.99555,1.05189,0.00406,0.00406,0.00406
20,1473.05,1.52595,1.2069,1.22926,0.76181,0.63544,0.70895,0.38067,1.46316,1.6716,1.02476,0.00373,0.00373,0.00373
21,1538.04,1.41661,1.11106,1.19495,0.76193,0.59883,0.67743,0.34492,1.61297,1.94454,1.08066,0.0034,0.0034,0.0034
22,1600.97,1.39521,1.07857,1.1844,0.76472,0.61875,0.69454,0.3517,1.54188,2.16327,1.06127,0.00307,0.00307,0.00307
23,1663.66,1.36493,1.0613,1.16619,0.79309,0.60141,0.68795,0.36917,1.4983,1.87166,1.03664,0.00274,0.00274,0.00274
24,1726.49,1.34005,1.03446,1.15921,0.75311,0.6044,0.68079,0.36767,1.4384,2.18686,1.02606,0.00241,0.00241,0.00241
25,1789.28,1.34237,1.01615,1.1536,0.75997,0.60082,0.67944,0.36316,1.44121,1.81732,1.02086,0.00208,0.00208,0.00208
26,1851.77,1.31668,1.00489,1.14001,0.75678,0.61337,0.68674,0.35637,1.46487,1.86634,1.0192,0.00175,0.00175,0.00175
27,1914.64,1.31171,0.99359,1.1375,0.78666,0.61293,0.69892,0.38725,1.36503,1.93445,0.9935,0.00142,0.00142,0.00142
28,1977.16,1.29179,0.97102,1.1269,0.77392,0.60285,0.68646,0.37089,1.44368,1.85688,1.01569,0.00109,0.00109,0.00109
29,2039.78,1.26822,0.95659,1.11655,0.77255,0.6128,0.69158,0.37954,1.39568,1.76732,1.00441,0.00076,0.00076,0.00076
30,2102.49,1.26936,0.94514,1.11155,0.75585,0.60321,0.68332,0.38146,1.38656,1.84522,1.00096,0.00043,0.00043,0.00043
