epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1345,1.99316,1.92643,1.54756,0.46327,0.39466,0.35416,0.12372,2.35641,6.00988,1.50429,0.0700477,0.00332803,0.00332803
2,155.008,1.8408,1.63314,1.47863,0.62095,0.45038,0.4867,0.20127,2.02677,3.57954,1.2993,0.0398279,0.00644154,0.00644154
3,227.629,1.73454,1.49969,1.41178,0.63868,0.5372,0.5428,0.21194,2.04843,4.65229,1.26683,0.00938804,0.00933505,0.00933505
4,299.429,1.62945,1.36909,1.34568,0.74608,0.54611,0.60837,0.28519,1.8261,2.20052,1.19173,0.00901,0.00901,0.00901
5,371.447,1.55569,1.28156,1.30146,0.62532,0.48943,0.5182,0.20047,2.22035,2.25101,1.3188,0.00868,0.00868,0.00868
6,443.183,1.49831,1.22877,1.26991,0.71915,0.55982,0.63006,0.31367,1.63117,1.91076,1.11737,0.00835,0.00835,0.00835
7,515.156,1.46184,1.18093,1.25139,0.7343,0.54551,0.60608,0.31846,1.50198,2.36118,1.0657,0.00802,0.00802,0.00802
8,587.171,1.42733,1.14289,1.22602,0.71715,0.61149,0.66228,0.33769,1.50719,1.8389,1.06341,0.00769,0.00769,0.00769
9,658.955,1.40458,1.11326,1.20744,0.70544,0.61224,0.65764,0.34631,1.51018,2.37588,1.06272,0.00736,0.00736,0.00736
10,730.745,1.37236,1.08304,1.19869,0.7212,0.58852,0.63864,0.30495,1.7166,2.34126,1.12621,0.00703,0.00703,0.00703
11,802.432,1.33485,1.05503,1.17657,0.75185,0.58266,0.6694,0.36395,1.44126,1.58568,1.03664,0.0067,0.0067,0.0067
12,874.057,1.31629,1.02853,1.16946,0.70152,0.61495,0.66405,0.35551,1.41656,2.24895,1.01567,0.00637,0.00637,0.00637
13,945.835,1.29568,1.00131,1.15519,0.74188,0.63128,0.68801,0.37809,1.38384,1.62016,0.99872,0.00604,0.00604,0.00604
14,1017.86,1.27428,0.9846,1.14649,0.73989,0.55079,0.63214,0.34954,1.40516,1.85251,1.03071,0.00571,0.00571,0.00571
15,1089.64,1.26579,0.96643,1.1384,0.74455,0.58748,0.66209,0.37254,1.34612,1.83701,0.99701,0.00538,0.00538,0.00538
16,1161.19,1.24182,0.94492,1.12768,0.74107,0.56838,0.62856,0.3364,1.48663,1.84745,1.03092,0.00505,0.00505,0.00505
17,1232.74,1.23704,0.94002,1.12156,0.73444,0.58713,0.65895,0.37077,1.34047,1.49432,0.98676,0.00472,0.00472,0.00472
18,1304.75,1.21598,0.9148,1.1121,0.77462,0.60548,0.67904,0.38113,1.35975,1.46955,0.98846,0.00439,0.00439,0.00439
19,1376.94,1.19633,0.89618,1.09963,0.72884,0.63433,0.68983,0.39994,1.28834,1.79351,0.97217,0.00406,0.00406,0.00406
20,1449.42,1.18166,0.88619,1.09462,0.74538,0.64798,0.70022,0.41047,1.28291,1.3928,0.96415,0.00373,0.00373,0.00373
21,1521.24,1.10102,0.79783,1.04008,0.73614,0.59498,0.66188,0.38859,1.31759,1.59246,0.97761,0.0034,0.0034,0.0034
22,1594.13,1.08478,0.78246,1.03162,0.7583,0.57704,0.66658,0.38875,1.3801,1.5701,0.9908,0.00307,0.00307,0.00307
23,1665.46,1.06807,0.76846,1.02549,0.7459,0.59133,0.66376,0.37206,1.42306,1.62827,1.00108,0.00274,0.00274,0.00274
24,1736.11,1.04489,0.743,1.01728,0.72618,0.61103,0.67604,0.3882,1.37726,1.56299,0.99278,0.00241,0.00241,0.00241
25,1807.22,1.03902,0.72805,1.01311,0.7297,0.56869,0.65346,0.38621,1.3129,1.41871,0.97506,0.00208,0.00208,0.00208
26,1879.73,1.0176,0.71697,1.00188,0.68408,0.60239,0.66065,0.3777,1.4028,1.51574,0.99862,0.00175,0.00175,0.00175
27,1950.66,1.00524,0.70773,0.9978,0.71346,0.59568,0.6663,0.38072,1.38733,1.51634,0.98891,0.00142,0.00142,0.00142
28,2020.8,0.98903,0.69427,0.9923,0.70307,0.61969,0.675,0.38857,1.37198,1.44506,0.98913,0.00109,0.00109,0.00109
29,2090.92,0.9734,0.67597,0.98502,0.73955,0.58322,0.66671,0.38245,1.37844,1.45387,0.98801,0.00076,0.00076,0.00076
30,2160.93,0.96623,0.66486,0.98008,0.71996,0.60492,0.67444,0.39586,1.32663,1.47349,0.97117,0.00043,0.00043,0.00043
