epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.442,2.17276,2.04883,1.56489,0.54425,0.42833,0.41022,0.14459,2.18026,2.8611,1.38325,0.0700477,0.00332803,0.00332803
2,164.541,2.1207,1.87343,1.56089,0.59652,0.44316,0.45254,0.16054,2.15003,4.01236,1.39744,0.0398279,0.00644154,0.00644154
3,242.541,2.03738,1.77112,1.52493,0.66411,0.48949,0.52952,0.22641,1.86683,1.89362,1.28121,0.00938804,0.00933505,0.00933505
4,320.337,1.96404,1.67999,1.49131,0.56824,0.43592,0.44647,0.19151,1.9515,3.77486,1.28716,0.00901,0.00901,0.00901
5,398.576,1.91186,1.62392,1.47222,0.66036,0.52763,0.56506,0.22348,2.02223,4.10962,1.33476,0.00868,0.00868,0.00868
6,476.309,1.88078,1.57579,1.44725,0.69581,0.5287,0.5743,0.24215,1.87404,2.36989,1.24063,0.00835,0.00835,0.00835
7,553.55,1.84251,1.52348,1.43195,0.64605,0.57322,0.60377,0.27256,1.7814,3.56983,1.23601,0.00802,0.00802,0.00802
8,630.902,1.80644,1.48173,1.40616,0.66563,0.58347,0.61037,0.2707,1.78216,2.35045,1.22309,0.00769,0.00769,0.00769
9,708.22,1.81488,1.503,1.42037,0.71074,0.58856,0.63015,0.29302,1.77077,2.71629,1.22976,0.00736,0.00736,0.00736
10,785.681,1.8171,1.4866,1.41186,0.66703,0.57505,0.61764,0.28674,1.72953,3.96792,1.20925,0.00703,0.00703,0.00703
11,862.934,1.76363,1.44092,1.39297,0.73002,0.55936,0.62752,0.3187,1.60655,2.25265,1.16031,0.0067,0.0067,0.0067
12,940.535,1.73465,1.40473,1.37225,0.68142,0.58058,0.60474,0.27544,1.73506,3.88911,1.191,0.00637,0.00637,0.00637
13,1017.73,1.72349,1.39814,1.36418,0.71159,0.59639,0.64891,0.32887,1.58027,2.83329,1.13636,0.00604,0.00604,0.00604
14,1094.88,1.70763,1.36928,1.35253,0.73453,0.59802,0.66687,0.34324,1.53416,2.13935,1.12066,0.00571,0.00571,0.00571
15,1172.38,1.69565,1.35438,1.35184,0.67726,0.58472,0.63474,0.30323,1.64594,1.95866,1.16162,0.00538,0.00538,0.00538
16,1250.31,1.68817,1.34093,1.34132,0.72146,0.59548,0.66169,0.3205,1.61855,2.52508,1.13919,0.00505,0.00505,0.00505
17,1328.03,1.66863,1.31983,1.33206,0.72673,0.61031,0.65881,0.32988,1.62361,2.43414,1.13323,0.00472,0.00472,0.00472
18,1405.56,1.63708,1.29101,1.31438,0.74741,0.60525,0.66478,0.34401,1.51869,2.1671,1.11856,0.00439,0.00439,0.00439
19,1483.56,1.64375,1.27881,1.30853,0.76353,0.61895,0.68159,0.34449,1.56932,2.77487,1.10207,0.00406,0.00406,0.00406
20,1560.84,1.60289,1.25981,1.29546,0.75259,0.60384,0.66757,0.34117,1.6073,2.06055,1.12518,0.00373,0.00373,0.00373
21,1631.53,1.46267,1.1393,1.26839,0.75378,0.59755,0.67126,0.34589,1.5838,1.78532,1.14599,0.0034,0.0034,0.0034
22,1700.22,1.45998,1.11542,1.26266,0.74088,0.61134,0.66516,0.34294,1.56362,2.1239,1.10685,0.00307,0.00307,0.00307
23,1768.64,1.41926,1.09352,1.24483,0.76053,0.58964,0.66248,0.31402,1.67124,1.92733,1.15483,0.00274,0.00274,0.00274
24,1837.07,1.41217,1.07732,1.24231,0.72,0.61051,0.66402,0.31794,1.73651,2.14535,1.17424,0.00241,0.00241,0.00241
25,1905.74,1.38681,1.03766,1.22093,0.78793,0.61573,0.68087,0.34983,1.57283,1.95364,1.11765,0.00208,0.00208,0.00208
26,1974.26,1.35744,1.00825,1.2017,0.76856,0.62526,0.69762,0.3741,1.48052,1.60037,1.08212,0.00175,0.00175,0.00175
27,2042.73,1.32712,0.98155,1.18782,0.76841,0.63242,0.7035,0.38304,1.46793,1.69341,1.07302,0.00142,0.00142,0.00142
28,2111.09,1.30891,0.96069,1.18028,0.75462,0.63479,0.70002,0.38338,1.42724,1.687,1.05441,0.00109,0.00109,0.00109
29,2179.75,1.26311,0.91534,1.15443,0.76,0.6296,0.70145,0.38168,1.43979,1.58521,1.06112,0.00076,0.00076,0.00076
30,2248.2,1.24949,0.89789,1.13964,0.76947,0.64232,0.72171,0.40734,1.37179,1.49703,1.04185,0.00043,0.00043,0.00043
